block_name,typical_sowing_start,typical_sowing_end,cropping_pattern,salinity_level,livelihood_type
Baruipur,March,April,Aus rice + jute,Low,Agriculture
Baruipur,June,July,Aman rice + wheat/mustard/potato,Low,Agriculture
Baruipur,November,December,Boro rice + potato + mustard + vegetables,Low,Agriculture
Budge Budge-I,March,April,Aus rice + jute,Low,Agriculture
Budge Budge-I,June,July,Aman rice + wheat/mustard/potato,Low,Agriculture
Budge Budge-I,November,December,Boro rice + potato + mustard + vegetables,Low,Agriculture
Budge Budge-II,March,April,Aus rice + jute,Low,Agriculture
Budge Budge-II,June,July,Aman rice + wheat/mustard/potato,Low,Agriculture
Budge Budge-II,November,December,Boro rice + potato + mustard + vegetables,Low,Agriculture
Diamond Harbour-I,March,April,Aus rice + jute,Low,Agriculture
Diamond Harbour-I,June,July,Aman rice + wheat/mustard/potato,Low,Agriculture
Diamond Harbour-I,November,December,Boro rice + potato + mustard + vegetables,Low,Agriculture
Diamond Harbour-II,March,April,Aus rice + jute,Low,Agriculture
Diamond Harbour-II,June,July,Aman rice + wheat/mustard/potato,Low,Agriculture
Diamond Harbour-II,November,December,Boro rice + potato + mustard + vegetables,Low,Agriculture
Falta,March,April,Aus rice + jute,Low,Agriculture
Falta,June,July,Aman rice + wheat/mustard/potato,Low,Agriculture
Falta,November,December,Boro rice + potato + mustard + vegetables,Low,Agriculture
Jaynagar-I,March,April,Aus rice + jute,Low,Agriculture
Jaynagar-I,June,July,Aman rice + wheat/mustard/potato,Low,Agriculture
Jaynagar-I,November,December,Boro rice + potato + mustard + vegetables,Low,Agriculture
Jaynagar-II,March,April,Aus rice + jute,Low,Agriculture
Jaynagar-II,June,July,Aman rice + wheat/mustard/potato,Low,Agriculture
Jaynagar-II,November,December,Boro rice + potato + mustard + vegetables,Low,Agriculture
Sonarpur,March,April,Aus rice + jute,Low,Agriculture
Sonarpur,June,July,Aman rice + wheat/mustard/potato,Low,Agriculture
Sonarpur,November,December,Boro rice + potato + mustard + vegetables,Low,Agriculture
Thakurpukur Mahestola,March,April,Aus rice + jute,Low,Agriculture
Thakurpukur Mahestola,June,July,Aman rice + wheat/mustard/potato,Low,Agriculture
Thakurpukur Mahestola,November,December,Boro rice + potato + mustard + vegetables,Low,Agriculture
Bhangar-I,March,April,Aus rice + jute,Moderate,Agriculture + Pisciculture
Bhangar-I,June,July,Aman rice + mustard (post-harvest),Moderate,Agriculture + Pisciculture
Bhangar-I,November,December,Boro rice + potato/mustard/vegetables,Moderate,Agriculture + Pisciculture
Bhangar-II,March,April,Aus rice + jute,Moderate,Agriculture + Pisciculture
Bhangar-II,June,July,Aman rice + mustard (post-harvest),Moderate,Agriculture + Pisciculture
Bhangar-II,November,December,Boro rice + potato/mustard/vegetables,Moderate,Agriculture + Pisciculture
Bishnupur-I,March,April,Aus rice + jute,Moderate,Agriculture + Pisciculture
Bishnupur-I,June,July,Aman rice + mustard (post-harvest),Moderate,Agriculture + Pisciculture
